sp|A0A0G2KTI4|S12A2_DANRE,tr|E9QBR0|E9QBR0_DANRE;sp|A0A0R4IGV4|JAM2A_DANRE
sp|A0A0R4IBK5|R213A_DANRE,sp|A0A2R8QCI3|DAPLE_DANRE
tr|F6NXE7|F6NXE7_DANRE;sp|A0A0R4IC37|CPSF1_DANRE,tr|A0A0R4IPT9|A0A0R4IPT9_DANRE;sp|A0JMF7|HAUS6_DANRE;tr|A0A0R4IYC2|A0A0R4IYC2_DANRE
tr|E9QCK5|E9QCK5_DANRE;tr|F6PB05|F6PB05_DANRE;sp|A0A2R8RWN9|FB11B_DANRE;sp|A0A2R8QFQ6|FB11A_DANRE,tr|B0UXP8|B0UXP8_DANRE;sp|A0JML8|DALD3_DANRE
sp|A0AUR5|MINY3_DANRE,tr|F1Q6T5|F1Q6T5_DANRE;sp|A0JMP0|PGGHG_DANRE
tr|F1QSU2|F1QSU2_DANRE;sp|A0JMD0|CLU_DANRE,sp|A1A5V9|ELP5_DANRE
sp|A0JME2|MCAF1_DANRE;tr|A0A0R4IKD6|A0A0R4IKD6_DANRE;tr|F8W5Q4|F8W5Q4_DANRE,tr|F1QDH8|F1QDH8_DANRE;tr|A0A2R8QCH5|A0A2R8QCH5_DANRE;sp|A5HAK0|RNSL3_DANRE
tr|E9QEF1|E9QEF1_DANRE;sp|A0JME6|ISOC2_DANRE,sp|A5PLC8|PTMAB_DANRE
tr|A0A0R4IYC2|A0A0R4IYC2_DANRE;tr|A0A0R4IPT9|A0A0R4IPT9_DANRE;sp|A0JMF7|HAUS6_DANRE,sp|A5WVU9|TRIQK_DANRE
sp|A0JMI9|RRF2M_DANRE,tr|G1K2I9|G1K2I9_DANRE;sp|A5WVX1|EFNMT_DANRE
tr|E7FAY6|E7FAY6_DANRE;tr|Z4YIN8|Z4YIN8_DANRE;tr|A0A2R8Q9S6|A0A2R8Q9S6_DANRE;tr|A0A2R8RST9|A0A2R8RST9_DANRE;sp|A0JMK9|CAF1A_DANRE,sp|A8WHR3|YJU2_DANRE
sp|A0JMQ0|BOP1_DANRE;tr|G3N3Y4|G3N3Y4_DANRE,sp|B0R0T1|VWA8_DANRE;tr|A0A2R8RYA1|A0A2R8RYA1_DANRE;tr|A0A2R8Q9X7|A0A2R8Q9X7_DANRE
sp|A0JPF9|ISPD_DANRE,sp|B0S6U7|ERAL1_DANRE
sp|A0MTA1|APEX1_DANRE;tr|A0A0R4IWF9|A0A0R4IWF9_DANRE,sp|B0UYH6|RPAP2_DANRE
sp|A0PJR5|ECHD3_DANRE,tr|A0A0R4IYD9|A0A0R4IYD9_DANRE;sp|B2ZFP3|SMAL1_DANRE
tr|A0A2R8QE33|A0A2R8QE33_DANRE;tr|F1QFA6|F1QFA6_DANRE;sp|A1A5H6|CNOT1_DANRE,sp|B8JJV5|SIM13_DANRE;tr|A0A140TAU6|A0A140TAU6_DANRE
sp|A1A5V7|TM41B_DANRE,sp|E7EZG2|MY9AA_DANRE
tr|F1QVT7|F1QVT7_DANRE;sp|A1A5Y5|TT39A_DANRE,sp|E7F3I6|CLP1_DANRE
tr|F1Q963|F1Q963_DANRE;tr|A0A2R8Q5W8|A0A2R8Q5W8_DANRE;sp|A1A5Z3|EFTS_DANRE,sp|E7F555|IFT43_DANRE
sp|A1L1F1|NDUF3_DANRE,sp|E7F6F7|ABCB7_DANRE
sp|A1L1F4|PDS5A_DANRE;tr|F1QDE7|F1QDE7_DANRE;tr|A0A0R4IU07|A0A0R4IU07_DANRE,sp|F1QPC3|SARAF_DANRE;tr|J9PBQ1|J9PBQ1_DANRE
tr|A0A2R8QRU1|A0A2R8QRU1_DANRE;sp|A1L1M4|P4R2B_DANRE;tr|A0A2R8QNH9|A0A2R8QNH9_DANRE;tr|E7EY74|E7EY74_DANRE,tr|A0A0A0MPI2|A0A0A0MPI2_DANRE;sp|F1R3W0|TAF1B_DANRE
tr|Z4YIT3|Z4YIT3_DANRE;tr|A0A2R8PYF9|A0A2R8PYF9_DANRE;sp|A1L1R6|ZN423_DANRE;tr|A0A2R8QTL6|A0A2R8QTL6_DANRE;tr|A0A2U3TVM2|A0A2U3TVM2_DANRE;tr|A0A2R8RI65|A0A2R8RI65_DANRE;tr|A0A2R8QQN4|A0A2R8QQN4_DANRE;tr|A0A2R8QLR2|A0A2R8QLR2_DANRE,sp|F1R983|CTIP_DANRE
sp|A1L243|MESD_DANRE;tr|A0A0R4IGU9|A0A0R4IGU9_DANRE;tr|A0A0H2UKF5|A0A0H2UKF5_DANRE,sp|O42182|FBLN1_DANRE
tr|F1QG78|F1QG78_DANRE;sp|A1L244|SAC1B_DANRE,sp|P0C218|DDX20_DANRE;tr|F1R1C1|F1R1C1_DANRE;tr|F6NN58|F6NN58_DANRE;tr|A0A286Y8P8|A0A286Y8P8_DANRE
sp|A1L251|ENASE_DANRE;tr|B8A611|B8A611_DANRE;tr|A0A2R8QLT7|A0A2R8QLT7_DANRE,tr|Q5SPG2|Q5SPG2_DANRE;tr|Q803J7|Q803J7_DANRE;tr|Q6NY29|Q6NY29_DANRE;sp|P52161|MAX_DANRE
